Original;ger;spa;fra;por-BR;ita;Occurrences
Group by CSIA 11 grouping;Group by CSIA 11 grouping;Group by CSIA 11 grouping;Group by CSIA 11 grouping;Group by CSIA 11 grouping;Group by CSIA 11 grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by CSIA 12 grouping;Group by CSIA 12 grouping;Group by CSIA 12 grouping;Group by CSIA 12 grouping;Group by CSIA 12 grouping;Group by CSIA 12 grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by CSIA 13 grouping;Group by CSIA 13 grouping;Group by CSIA 13 grouping;Group by CSIA 13 grouping;Group by CSIA 13 grouping;Group by CSIA 13 grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by CSIA 14 grouping;Group by CSIA 14 grouping;Group by CSIA 14 grouping;Group by CSIA 14 grouping;Group by CSIA 14 grouping;Group by CSIA 14 grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by CSIA 15 grouping;Group by CSIA 15 grouping;Group by CSIA 15 grouping;Group by CSIA 15 grouping;Group by CSIA 15 grouping;Group by CSIA 15 grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by CSIA 16 grouping;Group by CSIA 16 grouping;Group by CSIA 16 grouping;Group by CSIA 16 grouping;Group by CSIA 16 grouping;Group by CSIA 16 grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by CSIA 17 grouping;Group by CSIA 17 grouping;Group by CSIA 17 grouping;Group by CSIA 17 grouping;Group by CSIA 17 grouping;Group by CSIA 17 grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by CSIA 18 grouping;Group by CSIA 18 grouping;Group by CSIA 18 grouping;Group by CSIA 18 grouping;Group by CSIA 18 grouping;Group by CSIA 18 grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by CSIA 19 grouping;Group by CSIA 19 grouping;Group by CSIA 19 grouping;Group by CSIA 19 grouping;Group by CSIA 19 grouping;Group by CSIA 19 grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by CSIA 20 grouping;Group by CSIA 20 grouping;Group by CSIA 20 grouping;Group by CSIA 20 grouping;Group by CSIA 20 grouping;Group by CSIA 20 grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by Client grouping;Group by Client grouping;Group by Client grouping;Group by Client grouping;Group by Client grouping;Group by Client grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by Cross Docking number grouping;Group by Cross Docking number grouping;Group by Cross Docking number grouping;Group by Cross Docking number grouping;Group by Cross Docking number grouping;Group by Cross Docking number grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by Goods owner grouping;Group by Goods owner grouping;Group by Goods owner grouping;Group by Goods owner grouping;Group by Goods owner grouping;Group by Goods owner grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by Inbound delivery line grouping;Group by Inbound delivery line grouping;Group by Inbound delivery line grouping;Group by Inbound delivery line grouping;Group by Inbound delivery line grouping;Group by Inbound delivery line grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by LU compartment grouping;Group by LU compartment grouping;Group by LU compartment grouping;Group by LU compartment grouping;Group by LU compartment grouping;Group by LU compartment grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by LU layout grouping;Group by LU layout grouping;Group by LU layout grouping;Group by LU layout grouping;Group by LU layout grouping;Group by LU layout grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by LU-ID grouping;Group by LU-ID grouping;Group by LU-ID grouping;Group by LU-ID grouping;Group by LU-ID grouping;Group by LU-ID grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by Production date grouping;Group by Production date grouping;Group by Production date grouping;Group by Production date grouping;Group by Production date grouping;Group by Production date grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by Reservation number grouping;Group by Reservation number grouping;Group by Reservation number grouping;Group by Reservation number grouping;Group by Reservation number grouping;Group by Reservation number grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by Storage location grouping;Group by Storage location grouping;Group by Storage location grouping;Group by Storage location grouping;Group by Storage location grouping;Group by Storage location grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by System partner stock group grouping;Group by System partner stock group grouping;Group by System partner stock group grouping;Group by System partner stock group grouping;Group by System partner stock group grouping;Group by System partner stock group grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by Warehouse location grouping;Group by Warehouse location grouping;Group by Warehouse location grouping;Group by Warehouse location grouping;Group by Warehouse location grouping;Group by Warehouse location grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Hazard identification number;Nummer zur Kennzeichnung der Gefahr;Número de identificación de peligro;Numéro d'identification du danger;Número de identificação de perigo;Numero d'identificazione del pericolo;DANGGOODS00009
Height (max.);Höhe (max.);Altura (máx.);Hauteur (max.);Altura (máx.);Altezza (max.);ASRS_ADVISEDLU00001
Height (min.);Höhe (min.);Altura (mín.);Hauteur (min.);Altura (mín.);Altezza (min.);ASRS_ADVISEDLU00001
Height unit;Height unit;Height unit;Height unit;Height unit;Height unit;FWCS_PACKAGINGVERSION00001 ITEMQTYUNIT00008
Height;Höhe;Altura;Hauteur;Altura;Altezza;FWCS_PACKAGINGVERSION00001 ITEMQTYUNIT00008
ID;ID;ID;ID;ID;ID;STOCKACK00009 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Inbound delivery System partner;Inbound delivery System partner;Inbound delivery System partner;Inbound delivery System partner;Inbound delivery System partner;Inbound delivery System partner;ADVISEDLULINE00009 IBDLUDETAILACK00009 LOADLUDETAILACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008
Inbound delivery line type;Anlieferungszeilentyp;Tipo de línea de entrega;Type de la ligne de livraison;Tipo de linha de recebimento;Tipo di riga della consegna in arrivo;IBDL00006 IBDLACK00006
Inbound delivery line;Anlieferungszeile;Línea de entrega;Ligne de livraison;Linha de recebimento;Riga della consegna in arrivo;IBDL2IBOLACK00006 IBDLACK00006 IBDLDETAILACK00006 IBDLDIFFCODEACK00005 IBDLEXTREFACK00007 IBDLUDETAILACK00009 LOADLUDETAILACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008
Inbound delivery number;Anlieferungsnummer;Número de entrega;Numéro de livraison;Número de recebimento;Numero della consegna in arrivo;ADVISEDLULINE00009 IBD00008 IBDACK00012 IBDEXTREF00006 IBDEXTREFACK00007 IBDL00006 IBDL2IBOLACK00006 IBDLACK00006 IBDLDETAILACK00006 IBDLDIFFCODEACK00005 IBDLEXTREF00006 IBDLEXTREFACK00007 IBDLOADAIDACK00004 IBDLTEXT00001 IBDLUACK00007 IBDLUDETAILACK00009 IBDPARTNER00008 IBDPARTNERACK00008 IBDTEXT00001 LOADLUDETAILACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008
Inbound delivery partner role;Anlieferungspartnerrolle;Papel de socio de entrega;Rôle de partenaire de livraison;Papel de parceiro de recebimento;Ruolo del partner della consegna in arrivo;IBDPARTNER00008 IBDPARTNERACK00008
Inbound delivery type;Anlieferungstyp;Tipo de entrega;Type de livraison;Tipo de recebimento;Tipo di consegna in arrivo;IBD00008 IBDACK00012
Inbound delivery;Anlieferung;Entrega;Livraison;Recebimento;Consegna in arrivo;LAACCOUNTENTRYACK00001
Inbound order line type;WE-Auftragszeilentyp;Tipo de línea de orden RM;Type de la ligne d'ordre d'entrée de marchandises;Tipo de linha de pedidos de EM;Tipo di riga d'ordine IM;IBOL00007 IBOLACK00006
Inbound order line;WE-Auftragszeile;Línea de orden RM;Ligne d'ordre d'entrée de marchandises;Linha de pedidos de EM;Riga d'ordine IM;IBDL2IBOLACK00006 IBOLACK00006 IBOLDIFFCODEACK00005 IBOLEXTREFACK00007
Inbound order number;WE-Auftragsnummer;Número de orden RM;Numéro d'ordre EM;Número de pedidos de EM;Numero dell'ordine IM;IBDL2IBOLACK00006 IBO00008 IBOACK00008 IBOEXTREF00006 IBOEXTREFACK00006 IBOL00007 IBOLACK00006 IBOLDIFFCODEACK00005 IBOLEXTREF00006 IBOLEXTREFACK00007 IBOLTEXT00001 IBOPARTNER00008 IBOPARTNERACK00008 IBOTEXT00001
Inbound order partner role;WE-Auftragspartnerrolle;Papel de socio de la orden RM;Rôle de partenaire de l'ordre d'entrée de marchandises;Papel de parceiro de pedidos de EM;Ruolo del partner dell'ordine IM;IBOPARTNER00008 IBOPARTNERACK00008
Inbound order type;WE-Auftragstyp;Tipo de orden RM;Type d'ordre d'entrée de marchandises;Tipo de pedidos de EM;Tipo di ordine IM;IBO00008 IBOACK00008
Include zero quantities;Nullmengen einschließen;Incluir cantidades cero;Inclure les quantités zéro;Incluir quantidades zero;Includi quantità a zero;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Incoming goods area;Wareneingangsbereich;Zona de recepción de mercancías;Zone d'entrée de marchandises;Área de entrada de mercadorias;Area d'ingresso merci;ADVISEDLU00012 IBD00008 ITEMWHLOC00005
Instructions for portable tanks and bulk containers;Anweisungen für ortsbewegliche Tanks und Schüttgut-Container;Instrucciones para cisternas portátiles y contenedores para granel;Instructions pour Citernes mobiles et conteneurs pour vrac;Instruções para cisternas móveis e contentores para granel;Istruzioni per cisterne mobili e container per il trasporto alla rinfusa;DANGGOODS00009
Inventory area;Inventurbereich;Zona de inventario;Zone d'inventaire;Área de inventário;Area di inventario;INVDL00005 INVDLACK00006
Inventory demand line;Inventurbedarfszeile;Línea de solicitud de inventario;Ligne de besoin d'inventaire;Linha de necessidade de inventário;Riga di richiesta inventario;INVCCACK00007 INVDLACK00006 STOCKACK00009
Inventory demand number;Inventurbedarfsnummer;Número de solicitud de inventario;Numéro du besoin d'inventaire;Número da necessidade de inventário;Numero della richiesta inventario;INVCCACK00007 INVD00007 INVDACK00009 INVDLTEXT00001 INVDTEXT00001 STOCKACK00009
Inventory demand partner role;Inventurbedarf Partnerrolle;Función de socio de necesidad de inventario;Rôle de partenaire du besoin d'inventaire;Papel de parceiro da necessidade de inventário;Ruolo partner richiesta inventario;INVDPARTNER00007
Inventory demand type;Inventurbedarfstyp;Tipo de solicitud de inventario;Type de besoin d'inventaire;Tipo de necessidade de inventário;Tipo di richiesta inventario;INVD00007 INVDACK00009
Inventory demand;Inventurbedarf;solicitud de inventario;Besoin d'inventaire;Necessidade de inventário;Richiesta inventario;INVDENDACK00005 INVDL00005 INVDLACK00006 INVDPARTNER00007 STOCKADJ00008
Inventory error description;Inventurfehlerbeschreibung;Descripción del error de inventario;Désignation de l'erreur d'inventaire;Descrição de erro de inventário;Descrizione dell'errore di inventario;INVCCACK00007
Inventory error kind;Art des Inventurfehlers;Tipo de error de inventario;Type d'erreur d'inventaire;Tipo de erro de inventário;Tipo di errore di inventario;INVCCACK00007
Is sales quantity unit;Ist Verkaufsmengeneinheit;Es unidad de medida de venta;Est unité de quantité de vente;É unidade de quantidade de vendas;È l'unità quantitativa di vendita;ITEMQTYUNIT00008
Item Item number;Item Item number;Item Item number;Item Item number;Item Item number;Item Item number;REPLACEMENTITEM00005
Item Variant;Item Variant;Item Variant;Item Variant;Item Variant;Item Variant;REPLACEMENTITEM00005
Item alias kind;Artikel-Aliasart;Tipo de artículo alias;Le type d'article alias;Tipo de adicional de item;Tipo di alias di articolo;FWCS_ITEMALIAS00001 ITEMALIAS00006
Item alias number;Artikel-Aliasnummer;Número de artículo alias;Le numéro d'article alias;Número de adicional de item;Numero alias di articolo;FWCS_ITEMALIAS00001 ITEMALIAS00006
Item class;Artikelklasse;Clase de artículo;Classe d'article;Classe de item;Classe di articolo;ITEM00012
Item description 2;Artikelbezeichnung 2;Denominación de artículo 2;Désignation d'article 2;Descrição de item 2;Descrizione dell'articolo 2;FWCS_ITEMDESC00001 ITEMDESC00005
Item description;Artikelbezeichnung;Denominación del artículo;La désignation d'article;Descrição de item;Descrizione dell'articolo;FWCS_ITEMDESC00001 ITEMDESC00005
Item equivalence period unit;Item equivalence period unit;Item equivalence period unit;Item equivalence period unit;Item equivalence period unit;Item equivalence period unit;ITEM00012
Item equivalence period;Artikelgleichwertigkeitsdauer;Período de equivalencia del artículo;Fenêtre temporelle d'équivalence;Período de equivalência de itens;Periodo di equivalenza degli articoli;ITEM00012
Item kind;Artikelart;Tipo de artículo;Type d'article;Tipo de item;Tipo di articolo;INVDL00005 INVDLACK00006
Item number;Artikelnummer;Número de artículo;Le numéro d'article;Número de item;Numero dell'articolo;ADVISEDLULINE00009 ASO00001 DANGGOODS00009 DANGGOODSDESC00006 FWCS_FFOITEMLINE00001 FWCS_FFOITEMLINEACK00001 FWCS_FFOPICKACK00001 FWCS_ITEM00001 FWCS_ITEMALIAS00001 FWCS_ITEMDESC00001 FWCS_PACKAGINGVERSION00001 FWCS_PICKINGLOCASSIGNMENT00001 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLOADAIDACK00004 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 ITEM00012 ITEMABCCLASSIFICATION00006 ITEMALIAS00006 ITEMDESC00005 ITEMQTYUNIT00008 ITEMWHLOC00005 KIT00001 KITCOMPONENT00001 KITCONSUMABLES00001 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLOADAIDACK00004 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Item type;Artikeltyp;Tipo de artículo;Type d'article;Tipo de item;Tipo di articolo;ITEM00012
Item;Artikel;Artículo;Article;Item;Articolo;ASOACK00001 ASOCONSUMABLES00001
Key;Schlüssel;Clave;Clé;Legenda;Nome;IBDEXTREF00006 IBDEXTREFACK00007 IBDLEXTREF00006 IBDLEXTREFACK00007 IBOEXTREF00006 IBOEXTREFACK00006 IBOLEXTREF00006 IBOLEXTREFACK00007 OBDEXTREF00006 OBDEXTREFACK00006 OBDLEXTREF00006 OBDLEXTREFACK00006 OBOEXTREF00006 OBOLEXTREF00006
Kind of address;Art der Adresse;Tipo de dirección;Type d'adresse;Tipo de endereço;Tipo di indirizzo;CONSIGNMENTADDRACK00008 PARTNERADDR00007
Kit component item number;Setkomponentenartikelnummer;Número de artículo de componente de kit;Numéro d’article du composant de kit;Número de item de componente de kit;Numero di articolo del componente del kit;ASOCOMPONENT00001 KITCOMPONENT00001
Kit component number;Setkomponentennummer;Número de componente de kit;Numéro du composant de kit;Número de componente de kit;Numero di componente del kit;ASOCOMPONENT00001 KITCOMPONENT00001
Kit component variant;Setkomponentenvariante;Variante de componente de kit;Variante du composant de kit;Variante de componente de kit;Variante del componente del kit;ASOCOMPONENT00001 KITCOMPONENT00001
LA account entry number;Eintragsnummer LHM-Konto;Número de entrada de cuenta MAT;Numéro d’entrée de compte AC;Número de entrada de conta de MAT;Numero voce account BdC;LAACCOUNTENTRYACK00001
LA exchange state;LHM-Tauschstatus;Estado de cambio de MAT;État d'échange d'AC;Status da troca de MAT;Stato di scambio BdC;IBDACK00012
LU compartment;LE-Fach;Compartimento de UT;Compartiment UC;Compartimento da UT;Compartimento UdC;STOCKACK00009
LU kind;LE-Art;Tipo de UT;Type d'UC;Tipo de UT;Tipo di unità di carico;LOADLUACK00011
LU layout;LE-Layout;Diseño UT;Configuration d'UC;Layout da UT;Layout UdC;STOCKACK00009
LU origin;LE-Ursprung;Origen de UT;L'origine de l'UC;UT de origem;Origine unità di carico;ADVISEDLU00012
LU-ID of advised LU;LE-ID der avisierten LE;ID UT de UT avisada;ID UC de l’UC notifiée;ID-UT da UT anunciada;ID UdC dell'UdC preannunciata;ADVISEDLU00012 ADVISEDLULINE00009
LU-ID;LE-ID;ID UT;ID UC;ID-UT;ID UdC;ASRS_ADVISEDLU00001 ASRS_ADVISEDLUACK00001 ASRS_LUATTRCHANGE00001 ASRS_RELOCATIONREQ00001 FWCS_FFO00001 FWCS_FFOACK00001 IBDLUACK00007 IBDLUDETAILACK00009 INVDL00005 INVDLACK00006 LOADLUACK00011 OBDLUACK00008 OBDLUDETAILACK00009 SHIPMENTLUACK00003 SHIPMENTLUDETAILACK00002 SHIPMENTLUOBOACK00001 SOL00001 STOCKACK00009 STOCKADJ00008
Labels;Gefahrzettel;Etiquetas;Étiquettes;Etiquetas;Etichette;DANGGOODS00009
Language;Sprache;Idioma;Langage;Idioma;Lingua;CONSIGNMENTADDRACK00008 DANGGOODSDESC00006 FWCS_ITEMDESC00001 IBDLTEXT00001 IBDPARTNER00008 IBDPARTNERACK00008 IBDTEXT00001 IBOLTEXT00001 IBOPARTNER00008 IBOPARTNERACK00008 IBOTEXT00001 INVDLTEXT00001 INVDPARTNER00007 INVDTEXT00001 ITEMDESC00005 OBDLTEXT00001 OBDPARTNER00008 OBDPARTNERACK00008 OBDTEXT00001 OBOLTEXT00001 OBOPARTNER00008 OBOTEXT00001 PARTNERADDR00007 SHIPMENTLUACK00003
Last inventory time of loading unit;Letzter Inventurtermin für Ladeeinheit;Último momento de inventario de la unidad de transporte;Dernière date d'inventaire pour l'unité de chargement;Último prazo de inventário da unidade de transporte;Ultimo tempo di inventario dell'unità di carico;INVDL00005 INVDLACK00006
Last inventory time of stock object;Letzter Inventurtermin für Bestandsobjekt;Ùltimo momento de inventario del objeto de existencias;Heure du dernier inventaire de l'objet du stock;Último prazo de inventário do objeto de estoque;Ultimo tempo di inventario per lo stock object;INVDL00005 INVDLACK00006
Last inventory time of storage location;Letzter Inventurzeitpunkt Lagerplatz;Último momento de inventario de la ubicación;Heure du dernier inventaire de l'emplacement;Último prazo de inventário do local de depósito;Ultimo tempo di inventario per il posto di stoccaggio;INVDL00005 INVDLACK00006
Last item inventory time ;Letzter Artikelinventurtermin ;Último momento de inventario de artículo;Dernière date d'inventaire d'article ;Última data de inventário de item;Ultimo tempo di inventario articoli ;INVDL00005 INVDLACK00006
Last name;Nachname;Apellidos;Nom de famille;Sobrenome;Cognome;SYSUSER00007
Layer;Ebene;Capa;Couche;Camada;Livello;ITEMQTYUNIT00008
Length unit;Length unit;Length unit;Length unit;Length unit;Length unit;FWCS_PACKAGINGVERSION00001 ITEMQTYUNIT00008
Length;Länge;Longitud;Longueur;Comprimento;Lunghezza;FWCS_PACKAGINGVERSION00001 ITEMQTYUNIT00008
Limited Quantities;Begrenzte Mengen;Cantidades limitadas;Quantités limitées;Quantidades limitadas;Quantità limitate;DANGGOODS00009
Limits # Dangerous goods points (actual);Limits # Dangerous goods points (actual);Limits # Dangerous goods points (actual);Limits # Dangerous goods points (actual);Limits # Dangerous goods points (actual);Limits # Dangerous goods points (actual);LOADACK00011
Line;Zeile;Línea;Ligne;Linha;Riga;INSPMLINEACK00001 INVCCACK00007
Load LU-ID;Ladungs-LE-ID;ID UT de tour;ID-UC de tournée;ID-UT de carregamento;ID UdC di giro;LOADLU00005 LOADLUACK00011 LOADLUDETAILACK00009
Load loading unit kind;Ladungsladeeinheitenart;Tipo de unidad de transporte de tour;Type d'unité de chargement de tournée;Tipo de unidade de transporte de carga;Tipo di unità di carico di giro;LOADLUACK00011
Load progress state;Ladungsfortschrittstatus;Estado de progreso de cargamento;État de progression de la tournée;Status do progresso de carregamento;Stato avanzamento giro;LOADACK00011
Load progress;Ladungsfortschritt;Progreso de cargamento;Progression de la tournée;Progresso de carregamento;Avanzamento del giro;LOADACK00011
Load type;Ladungstyp;Tipo de carga;Type de tournée;Tipo de carregamento;Tipo di giro;LOAD00008 LOADACK00011
Load;Laden;Carga;Charger;Carregar;Carica;CONSIGNMENT00007 CONSIGNMENTACK00012 LOAD00008 LOADACK00011 LOADTRANSPORTVEHICLE00006 LOADTRANSPORTVEHICLEACK00006
Load;Ladung;Tour;Tournée;Tour;Giro;CONSIGNMENTADDRACK00008
Loading aid account;Ladehilfsmittelkonto;Cuenta de medios auxiliares de transporte;Compte d'auxiliaire de chargement;Conta de meios auxiliares de transporte;Account della base di carico;LAACCOUNTENTRYACK00001 PARTNER00008
Loading aid ticket;Ladehilfsmittelticket;Ticket de medios auxiliares de transporte;Coupon auxiliaire de chargement;Vale de meio auxiliar de transporte;Ticket per la base di carico;LAACCOUNTENTRYACK00001
Loading aid;Ladehilfsmittel;Medio auxiliar de transporte;Auxiliaire de chargement;Meio auxiliar de transporte;Base di carico;ADVISEDLU00012 ASRS_ADVISEDLU00001 FWCS_FFO00001 IBDLOADAIDACK00004 IBDLUACK00007 LAACCOUNTENTRYACK00001 LOADLUACK00011 OBDLOADAIDACK00004 OBDLUACK00008 SHIPMENTLUACK00003
Loading sequence;Verladereihenfolge;El orden de carga;Ordre séquentiel du chargement;Sequência de carregamento;Sequenza caricamento;CONSIGNMENT00007 CONSIGNMENTACK00012
Loading state;Verladestatus;Estado de transporte;État de chargement;Estado de carregamento;Stato di caricamento;OBDACK00011
Loading time;Verladetermin;Hora de carga;Date et heure de chargement;Tempo de carga;Ora di caricamento;CONSIGNMENT00007 CONSIGNMENTACK00012 OBD00010 OBDACK00011
Loading unit cubature;Ladeeinheitenkubatur;Cubicación de unidades de transporte;Cubature d'unité de chargement;Cubatura da unidade de transporte;Cubatura dell'unità di carico;ADVISEDLU00012 FWCS_FFO00001 IBDLUACK00007 LOADLUACK00011 OBDLUACK00008 SHIPMENTLUACK00003
Loading unit height (max.) unit;Loading unit height (max.) unit;Loading unit height (max.) unit;Loading unit height (max.) unit;Loading unit height (max.) unit;Loading unit height (max.) unit;PARTNER00008
Loading unit height (max.);Ladeeinheitenhöhe (max.);Altura de unidad de transporte (máx.);Hauteur de l'unité de chargement (max.);Altura da unidade de transporte (máx.);Altezza unità di carico (max.);PARTNER00008
Loading unit weight (max.) unit;Loading unit weight (max.) unit;Loading unit weight (max.) unit;Loading unit weight (max.) unit;Loading unit weight (max.) unit;Loading unit weight (max.) unit;PARTNER00008
Loading unit weight (max.);Ladeeinheitengewicht (max.);Peso de unidad de transporte (máx.);Poids de l'unité de chargement (max.);Peso da unidade de transporte (máx.);Peso unità di carico (max.);PARTNER00008
Locked;Gesperrt;Bloqueado;Bloqué;Bloqueado;Bloccato;LOGIN00007
Login expires on;Login läuft ab am;El login caduca el;Login expire le;O login expira em;Il login scade il;LOGIN00007
Login;Login;Login;Login;Login;Login;LOGIN00007 LOGIN2ROLE00005
Lower tolerance Absolute value;Lower tolerance Absolute value;Lower tolerance Absolute value;Lower tolerance Absolute value;Lower tolerance Absolute value;Lower tolerance Absolute value;ITEM00012
Lower tolerance Percentage;Lower tolerance Percentage;Lower tolerance Percentage;Lower tolerance Percentage;Lower tolerance Percentage;Lower tolerance Percentage;ITEM00012
Lower tolerance [%];Unterer Toleranzwert [%];Tolerancia inferior [%];Tolérance inférieure [%];Tolerância inferior [%];Tolleranza inferiore [%];IBDL00006 IBOL00007 ITEM00012 OBDL00007 OBDLACK00009 OBOL00007
Main state;Hauptstatus;Estado principal;État principal;Estado principal;Stato principale;ASOACK00001 ASRS_ADVISEDLUACK00001 IBDACK00012 IBOACK00008 LOADACK00011 OBDACK00011 OBOACK00011
Master LU-ID;Träger-LE-ID;ID UT portadora;ID UC maître;ID-UT principal;Numero di identificazione dell'unità di carico principale;ADVISEDLU00012 IBDLUACK00007 LOADLUACK00011 OBDLUACK00008 SHIPMENTLUACK00003 STOCKACK00009 STOCKADJ00008
Master record type;Hauptdatensatztyp;Tipo de registros maestros;Type d'enregistrement de données de base;Tipo de registro mestre;Tipo di record di dati anagrafici;INSPMACK00001
Max. remaining shelf life IG;Max. remaining shelf life IG;Max. remaining shelf life IG;Max. remaining shelf life IG;Max. remaining shelf life IG;Max. remaining shelf life IG;ITEM00012
Max. remaining shelf life unit IG;Max. remaining shelf life unit IG;Max. remaining shelf life unit IG;Max. remaining shelf life unit IG;Max. remaining shelf life unit IG;Max. remaining shelf life unit IG;ITEM00012
Middle name;Zweiter Vorname;Segundo nombre;Second prénom;Nome do meio;Secondo nome;SYSUSER00007
Min. remaining shelf life IG;Min. remaining shelf life IG;Min. remaining shelf life IG;Min. remaining shelf life IG;Min. remaining shelf life IG;Min. remaining shelf life IG;ITEM00012
Min. remaining shelf life unit IG;Min. remaining shelf life unit IG;Min. remaining shelf life unit IG;Min. remaining shelf life unit IG;Min. remaining shelf life unit IG;Min. remaining shelf life unit IG;ITEM00012
Minimum stock level (BQU);Minimale Bestandsebene (BME);Nivel de existencias mínimo (UE);Taux minimal de stock (UQB);Nível de estoque mínimo (UBQ);Livello di scorta minimo (UQB);ITEMWHLOC00005
Mixed packing provisions;Zusammenpackung;Disposiciones relativas al embalaje en común;Dispositions relatives à l'emballage en commun;Disposições relativas à embalagem em comum;Disposizioni concernenti l'imballaggio in comune;DANGGOODS00009
Monitoring interval IG;Monitoring interval IG;Monitoring interval IG;Monitoring interval IG;Monitoring interval IG;Monitoring interval IG;ITEM00012
Monitoring interval unit IG;Monitoring interval unit IG;Monitoring interval unit IG;Monitoring interval unit IG;Monitoring interval unit IG;Monitoring interval unit IG;ITEM00012
Monitoring kind IG;Monitoring kind IG;Monitoring kind IG;Monitoring kind IG;Monitoring kind IG;Monitoring kind IG;ITEM00012
Name 2;Name 2;Nombre 2;Nom 2;Nome 2;Nome 2;CONSIGNMENTADDRACK00008 FWCS_PARTNER00001 IBDPARTNER00008 IBDPARTNERACK00008 IBOPARTNER00008 IBOPARTNERACK00008 INVDPARTNER00007 OBDPARTNER00008 OBDPARTNERACK00008 OBOPARTNER00008 PARTNERADDR00007 SHIPMENTLUACK00003
Name 3;Name 3;Nombre 3;Nom 3;Nome 3;Nome 3;CONSIGNMENTADDRACK00008 IBDPARTNER00008 IBDPARTNERACK00008 IBOPARTNER00008 IBOPARTNERACK00008 INVDPARTNER00007 OBDPARTNER00008 OBDPARTNERACK00008 OBOPARTNER00008 PARTNERADDR00007 SHIPMENTLUACK00003
Name 4;Name 4;Nombre 4;Nom 4;Nome 4;Nome 4;CONSIGNMENTADDRACK00008 IBDPARTNER00008 IBDPARTNERACK00008 IBOPARTNER00008 IBOPARTNERACK00008 INVDPARTNER00007 OBDPARTNER00008 OBDPARTNERACK00008 OBOPARTNER00008 PARTNERADDR00007 SHIPMENTLUACK00003
Name;Name;Nombre;Nom;Nome;Nome;CONSIGNMENTADDRACK00008 FWCS_PARTNER00001 IBDPARTNER00008 IBDPARTNERACK00008 IBOPARTNER00008 IBOPARTNERACK00008 INVDPARTNER00007 OBDPARTNER00008 OBDPARTNERACK00008 OBOPARTNER00008 PARTNERADDR00007 SHIPMENTLUACK00003
Numerator;Zähler;Numerador;Numérateur;Numerador;Numeratore;ITEMQTYUNIT00008
Order time;Bestellzeit;Hora de la orden;Heure de commande;Prazo de pedido;Tempo dell'ordine;IBO00008 IBOACK00008 OBO00009 OBOACK00011
Ordered LU-ID;Bestellte LE-ID;ID UT pedido;ID UC commandé;ID-UT solicitado;ID UdC ordinata;IBDL00006 IBDLACK00006 IBOL00007 IBOLACK00006 OBDL00007 OBDLACK00009 OBOL00007
Ordered quantity;Bestellmenge;Cantidad pedida;Quantité commandée;Quantidade encomendada;Quantità ordinata;FWCS_FFOITEMLINE00001 FWCS_FFOITEMLINEACK00001 FWCS_FFOPICKACK00001 IBDL00006 IBDLACK00006 IBOL00007 IBOLACK00006 OBDL00007 OBDLACK00009 OBOL00007
